x,y
280.0,284.0
280.0,268.0
268.0,256.0
248.0,236.0
276.0,228.0
198.0,381.0
186.0,369.0
283.0,422.0
267.0,404.0
264.0,400.0
260.0,382.0
260.0,376.0
248.0,360.0
236.0,344.0
232.0,332.0
228.0,320.0
228.0,304.0
316.0,260.0
236.0,264.0
230.0,248.0
244.0,360.0
236.0,344.0
252.0,336.0
228.0,328.0
240.0,308.0
228.0,300.0
224.0,288.0
228.0,316.0
228.0,332.0
224.0,324.0
216.0,300.0
336.0,380.0
330.0,364.0
324.0,352.0
316.0,336.0
326.0,320.0
336.0,306.0
320.0,292.0
324.0,280.0
312.0,268.0
352.0,240.0
332.0,236.0
300.0,236.0
304.0,224.0
292.0,216.0
288.0,204.0
308.0,296.0
292.0,288.0
236.0,344.0
240.0,328.0
240.0,328.0
236.0,316.0
232.0,300.0
240.0,288.0
268.0,288.0
272.0,268.0
276.0,248.0
272.0,232.0
268.0,264.0
280.0,260.0
296.0,260.0
296.0,248.0
296.0,240.0
296.0,232.0
300.0,220.0
288.0,208.0
300.0,224.0
300.0,232.0
304.0,228.0
308.0,216.0
308.0,204.0
308.0,192.0
320.0,176.0
312.0,160.0
328.0,148.0
324.0,136.0
324.0,120.0
336.0,108.0
332.0,100.0
340.0,80.0
336.0,92.0
412.0,120.0
424.0,128.0
304.0,120.0
300.0,112.0
336.0,132.0
300.0,132.0
316.0,128.0
312.0,136.0
364.0,132.0
360.0,136.0
368.0,148.0
380.0,144.0
380.0,144.0
380.0,156.0
384.0,160.0
392.0,160.0
400.0,160.0
394.0,160.0
400.0,160.0
400.0,160.0
384.0,164.0
390.0,164.0
384.0,164.0
400.0,164.0
400.0,164.0
388.0,168.0
384.0,168.0
400.0,168.0
396.0,168.0
402.0,168.0
404.0,168.0
408.0,168.0
404.0,168.0
408.0,172.0
404.0,172.0
368.0,260.0
480.0,260.0
488.0,248.0
492.0,240.0
336.0,360.0
332.0,356.0
320.0,348.0
312.0,340.0
300.0,336.0
364.0,376.0
360.0,372.0
380.0,364.0
456.0,336.0
448.0,332.0
448.0,320.0
452.0,308.0
446.0,300.0
446.0,292.0
452.0,284.0
446.0,276.0
406.0,252.0
368.0,224.0
380.0,200.0
384.0,192.0
384.0,184.0
380.0,184.0
390.0,176.0
380.0,176.0
376.0,172.0
376.0,164.0
372.0,156.0
368.0,148.0
360.0,140.0
348.0,132.0
340.0,128.0
336.0,120.0
328.0,116.0
328.0,112.0
384.0,104.0
392.0,92.0
396.0,80.0
398.0,160.0
400.0,164.0
396.0,164.0
402.0,164.0
400.0,164.0
402.0,164.0
412.0,164.0
404.0,168.0
396.0,172.0
408.0,172.0
420.0,172.0
400.0,172.0
396.0,172.0
400.0,172.0
408.0,172.0
404.0,176.0
404.0,176.0
412.0,172.0
420.0,174.0
416.0,172.0
406.0,172.0
400.0,172.0
402.0,172.0
420.0,170.0
416.0,168.0
410.0,168.0
412.0,168.0
408.0,172.0
412.0,172.0
398.0,172.0
416.0,172.0
412.0,168.0
420.0,168.0
416.0,168.0
408.0,164.0
400.0,164.0
408.0,164.0
392.0,168.0
396.0,168.0
388.0,172.0
412.0,168.0
404.0,168.0
410.0,168.0
392.0,172.0
404.0,172.0
404.0,172.0
392.0,176.0
392.0,176.0
398.0,176.0
412.0,176.0
396.0,180.0
400.0,180.0
400.0,180.0
404.0,180.0
416.0,180.0
384.0,184.0
392.0,192.0
408.0,184.0
388.0,184.0
388.0,188.0
392.0,188.0
456.0,184.0
420.0,184.0
434.0,180.0
424.0,182.0
408.0,180.0
418.0,176.0
428.0,200.0
508.0,216.0
512.0,200.0
512.0,176.0
544.0,164.0
504.0,168.0
504.0,164.0
508.0,144.0
492.0,160.0
484.0,156.0
478.0,172.0
488.0,172.0
492.0,164.0
520.0,188.0
476.0,212.0
468.0,204.0
476.0,192.0
452.0,192.0
460.0,184.0
464.0,176.0
560.0,356.0
496.0,336.0
493.0,320.0
511.0,300.0
516.0,282.0
517.0,266.0
510.0,236.0
468.0,212.0
464.0,200.0
456.0,176.0
452.0,160.0
452.0,136.0
448.0,124.0
444.0,112.0
476.0,128.0
508.0,140.0
560.0,156.0
508.0,116.0
518.0,104.0
540.0,100.0
588.0,116.0
508.0,168.0
468.0,176.0
440.0,152.0
468.0,148.0
524.0,144.0
528.0,128.0
536.0,132.0
536.0,124.0
436.0,148.0
480.0,132.0
480.0,112.0
484.0,96.0
492.0,92.0
480.0,96.0
412.0,108.0
484.0,120.0
488.0,120.0
472.0,144.0
468.0,164.0
436.0,160.0
452.0,144.0
432.0,140.0
576.0,168.0
536.0,176.0
556.0,172.0
548.0,160.0
536.0,176.0
532.0,180.0
536.0,172.0
516.0,168.0
508.0,156.0
504.0,140.0
486.0,140.0
468.0,128.0
452.0,124.0
460.0,120.0
580.0,120.0
532.0,128.0
604.0,144.0
608.0,128.0
604.0,148.0
568.0,160.0
580.0,148.0
552.0,136.0
548.0,132.0
552.0,116.0
536.0,120.0
540.0,112.0
552.0,104.0
528.0,180.0
548.0,180.0
548.0,184.0
556.0,180.0
552.0,180.0
548.0,184.0
548.0,184.0
552.0,180.0
552.0,180.0
548.0,184.0
552.0,184.0
556.0,180.0
560.0,172.0
550.0,164.0
544.0,164.0
564.0,172.0
560.0,172.0
560.0,172.0
564.0,172.0
568.0,172.0
568.0,172.0
564.0,172.0
564.0,172.0
560.0,176.0
560.0,176.0
564.0,176.0
568.0,176.0
568.0,172.0
568.0,168.0
552.0,168.0
556.0,168.0
532.0,172.0
568.0,172.0
568.0,176.0
568.0,176.0
572.0,172.0
576.0,172.0
568.0,176.0
572.0,172.0
480.0,160.0
492.0,144.0
500.0,132.0
496.0,128.0
504.0,120.0
492.0,124.0
496.0,124.0
496.0,116.0
472.0,120.0
472.0,116.0
588.0,168.0
576.0,172.0
584.0,172.0
580.0,164.0
432.0,156.0
436.0,148.0
444.0,164.0
448.0,160.0
460.0,148.0
468.0,136.0
472.0,136.0
496.0,132.0
504.0,128.0
512.0,120.0
592.0,176.0
592.0,164.0
592.0,176.0
596.0,176.0
592.0,180.0
600.0,180.0
592.0,184.0
592.0,184.0
592.0,184.0
596.0,180.0
596.0,180.0
600.0,180.0
600.0,180.0
600.0,180.0
608.0,176.0
608.0,176.0
604.0,180.0
600.0,180.0
612.0,176.0
612.0,176.0
600.0,196.0
636.0,236.0
592.0,232.0
592.0,220.0
580.0,212.0
568.0,192.0
580.0,176.0
544.0,156.0
556.0,164.0
606.0,168.0
632.0,156.0
628.0,164.0
636.0,144.0
620.0,172.0
