x,y
440.0,240.0
440.0,240.0
444.0,240.0
444.0,240.0
448.0,240.0
444.0,244.0
444.0,244.0
448.0,244.0
444.0,248.0
444.0,248.0
448.0,248.0
448.0,248.0
452.0,248.0
444.0,252.0
448.0,252.0
452.0,252.0
444.0,256.0
444.0,256.0
444.0,256.0
444.0,256.0
448.0,256.0
448.0,256.0
448.0,256.0
444.0,260.0
448.0,260.0
448.0,260.0
452.0,260.0
452.0,260.0
452.0,260.0
456.0,260.0
460.0,260.0
452.0,264.0
452.0,264.0
452.0,264.0
456.0,264.0
456.0,264.0
464.0,264.0
452.0,268.0
456.0,268.0
456.0,268.0
460.0,268.0
460.0,268.0
460.0,268.0
460.0,268.0
460.0,268.0
464.0,268.0
464.0,268.0
468.0,268.0
468.0,268.0
472.0,268.0
472.0,268.0
464.0,272.0
464.0,272.0
464.0,272.0
464.0,272.0
464.0,272.0
468.0,272.0
468.0,272.0
468.0,272.0
472.0,272.0
472.0,272.0
472.0,272.0
480.0,272.0
468.0,276.0
480.0,272.0
468.0,276.0
472.0,276.0
472.0,276.0
472.0,276.0
472.0,276.0
472.0,276.0
472.0,276.0
476.0,276.0
476.0,276.0
476.0,276.0
476.0,276.0
484.0,276.0
476.0,280.0
476.0,280.0
480.0,276.0
476.0,280.0
480.0,280.0
480.0,280.0
480.0,280.0
480.0,284.0
480.0,284.0
484.0,284.0
480.0,288.0
480.0,292.0
484.0,292.0
484.0,296.0
484.0,296.0
484.0,300.0
484.0,300.0
484.0,304.0
484.0,304.0
488.0,304.0
484.0,308.0
488.0,308.0
488.0,308.0
484.0,312.0
484.0,312.0
484.0,312.0
488.0,312.0
488.0,312.0
488.0,312.0
492.0,312.0
492.0,312.0
496.0,312.0
496.0,312.0
496.0,312.0
496.0,312.0
488.0,316.0
492.0,316.0
500.0,312.0
500.0,312.0
500.0,312.0
496.0,316.0
496.0,316.0
496.0,316.0
500.0,316.0
500.0,316.0
500.0,316.0
500.0,316.0
504.0,316.0
504.0,316.0
504.0,316.0
500.0,320.0
508.0,316.0
500.0,320.0
504.0,320.0
504.0,320.0
504.0,320.0
508.0,320.0
508.0,320.0
508.0,320.0
508.0,320.0
504.0,324.0
508.0,324.0
508.0,324.0
512.0,324.0
508.0,324.0
512.0,324.0
516.0,324.0
512.0,328.0
512.0,328.0
516.0,328.0
516.0,328.0
516.0,328.0
520.0,328.0
520.0,328.0
520.0,332.0
516.0,336.0
524.0,332.0
524.0,332.0
524.0,332.0
520.0,336.0
524.0,336.0
524.0,336.0
524.0,336.0
524.0,336.0
524.0,336.0
528.0,336.0
528.0,336.0
528.0,336.0
528.0,336.0
528.0,340.0
528.0,340.0
528.0,340.0
532.0,340.0
532.0,340.0
